TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Theft of Bicycle,2022,10,20,10,30,4XX NANAIMO ST,Hastings-Sunrise,495892.1109,5458712.7189
Theft of Bicycle,2022,1,26,22,0,5X N RENFREW ST,Hastings-Sunrise,496793.294,5459170.5315
Theft of Bicycle,2022,7,1,10,0,E 5TH AVE / SKEENA ST,Hastings-Sunrise,497928.6076,5456993.6511
Theft of Bicycle,2022,8,26,9,0,E BROADWAY AVE / KASLO ST,Hastings-Sunrise,496577.4075,5456583.0403
Theft of Vehicle,2022,11,16,17,0,12XX PENTICTON ST,Hastings-Sunrise,496220.7006,5457931.2706
Theft of Vehicle,2022,11,13,10,53,12XX SKEENA ST,Hastings-Sunrise,497938.6917,5457926.2891
Theft of Vehicle,2022,12,10,17,46,13XX BOUNDARY RD,Hastings-Sunrise,498274.4741,5457794.4547
Theft of Vehicle,2022,7,25,15,15,15XX BOUNDARY RD,Hastings-Sunrise,498273.8153,5457588.5285
Theft of Vehicle,2022,8,13,11,0,15XX NANAIMO ST,Hastings-Sunrise,495887.8358,5457624.135
Theft of Vehicle,2022,3,4,23,35,16XX RUPERT ST,Hastings-Sunrise,497537.9479,5457441.4277
Theft of Vehicle,2022,9,9,18,30,17XX LILLOOET ST,Hastings-Sunrise,497171.3307,5457400.0405
Theft of Vehicle,2022,1,7,15,0,19XX LILLOOET ST,Hastings-Sunrise,497168.3029,5457200.4841
Theft of Vehicle,2022,10,30,17,0,21XX RUPERT ST,Hastings-Sunrise,497555.7055,5456985.5334
Theft of Vehicle,2022,9,1,23,0,21XX WINDERMERE ST,Hastings-Sunrise,497350.0758,5456988.8592
Theft of Vehicle,2022,11,10,8,30,24XX E 5TH AVE,Hastings-Sunrise,495993.448,5457001.7622
Theft of Vehicle,2022,2,13,15,0,24XX E 7TH AVE,Hastings-Sunrise,495883.5132,5456787.7212
Theft of Vehicle,2022,10,6,8,30,25XX E 4TH AVE,Hastings-Sunrise,496032.6493,5457107.8358
Theft of Vehicle,2022,7,15,15,0,26XX E BROADWAY AVE,Hastings-Sunrise,496265.6289,5456588.3196
Theft of Vehicle,2022,7,19,7,0,26XX E HASTINGS ST,Hastings-Sunrise,496296.4521,5458717.752
Theft of Vehicle,2022,12,1,16,40,26XX MCGILL ST,Hastings-Sunrise,496228.6082,5459548.4453
Theft of Vehicle,2022,6,8,20,0,26XX WILLIAM ST,Hastings-Sunrise,496265.9359,5457937.3495
Theft of Vehicle,2022,5,3,3,49,27XX DUNDAS ST,Hastings-Sunrise,496418.7952,5459110.1949
Theft of Vehicle,2022,10,22,8,20,27XX DUNDAS ST,Hastings-Sunrise,496418.7952,5459110.1949
Theft of Vehicle,2022,10,11,19,45,27XX E 8TH AVE,Hastings-Sunrise,496398.7299,5456684.3783
Theft of Vehicle,2022,4,25,21,0,28XX ETON ST,Hastings-Sunrise,496613.9464,5459436.2875
Theft of Vehicle,2022,2,19,12,0,29XX CHARLES ST,Hastings-Sunrise,496902.6423,5457829.4296
Theft of Vehicle,2022,9,22,22,30,29XX GRAVELEY ST,Hastings-Sunrise,496886.8193,5457512.8503
Theft of Vehicle,2022,6,20,23,45,2XX KAMLOOPS ST,Hastings-Sunrise,496034.9504,5458903.3686
Theft of Vehicle,2022,9,16,20,0,30XX E 4TH AVE,Hastings-Sunrise,497020.3343,5457095.5218
Theft of Vehicle,2022,5,23,17,0,30XX E 7TH AVE,Hastings-Sunrise,497035.0871,5456783.43
Theft of Vehicle,2022,5,10,22,0,31XX TURNER ST,Hastings-Sunrise,497180.405,5458477.1965
Theft of Vehicle,2022,9,22,22,0,31XX TURNER ST,Hastings-Sunrise,497180.405,5458477.1965
Theft of Vehicle,2022,7,21,22,0,32XX E 8TH AVE,Hastings-Sunrise,497487.4882,5456678.5215
Theft of Vehicle,2022,10,7,22,0,32XX KITCHENER ST,Hastings-Sunrise,497356.2194,5457720.7512
Theft of Vehicle,2022,10,1,8,0,34XX DUNDAS ST,Hastings-Sunrise,497763.5327,5459111.0051
Theft of Vehicle,2022,7,30,20,30,34XX FRANKLIN ST,Hastings-Sunrise,497763.2316,5458808.7472
Theft of Vehicle,2022,12,30,21,30,34XX TERRA VITA PL,Hastings-Sunrise,497793.981,5458196.2076
Theft of Vehicle,2022,12,11,2,45,35XX OXFORD ST,Hastings-Sunrise,497991.4525,5459209.1015
Theft of Vehicle,2022,7,31,12,0,36XX E 1ST AVE,Hastings-Sunrise,498157.508,5457398.2096
Theft of Vehicle,2022,11,18,21,0,3XX SKEENA ST,Hastings-Sunrise,497944.9279,5458810.828
Theft of Vehicle,2022,1,8,23,30,4XX FELLOWES ST,Hastings-Sunrise,498026.3526,5459572.1605
Theft of Vehicle,2022,9,17,2,0,4XX RENFREW ST,Hastings-Sunrise,496799.6331,5458636.8396
Theft of Vehicle,2022,7,30,10,0,5XX KASLO ST,Hastings-Sunrise,496608.6988,5458536.0821
Theft of Vehicle,2022,8,29,7,0,5XX SLOCAN ST,Hastings-Sunrise,496416.2368,5458606.7064
Theft of Vehicle,2022,7,19,0,52,6XX RUPERT ST,Hastings-Sunrise,497561.5169,5458432.0748
Theft of Vehicle,2022,5,20,8,30,7XX KASLO ST,Hastings-Sunrise,496593.9144,5458305.5257
Theft of Vehicle,2022,1,7,22,0,7XX RENFREW ST,Hastings-Sunrise,496797.0946,5458387.7258
Theft of Vehicle,2022,3,19,2,0,9XX WINDERMERE ST,Hastings-Sunrise,497354.4362,5458137.0719
Theft of Vehicle,2022,7,22,16,0,E 8TH AVE / WINDERMERE ST,Hastings-Sunrise,497342.8427,5456683.7378
Theft of Vehicle,2022,5,22,22,30,E HASTINGS ST / KAMLOOPS ST,Hastings-Sunrise,496030.2701,5458713.9247
Theft of Vehicle,2022,6,19,5,0,E HASTINGS ST / SLOCAN ST,Hastings-Sunrise,496411.7739,5458712.8621
Theft of Vehicle,2022,2,3,19,0,E PENDER ST / PENTICTON ST,Hastings-Sunrise,496219.1794,5458609.5802
Vehicle Collision or Pedestrian Struck (with Fatality),2022,2,2,7,13,29XX BLOCK E PENDER ST,Hastings-Sunrise,496826.0,5458607.0
Vehicle Collision or Pedestrian Struck (with Injury),2022,3,12,15,37,15XX BOUNDARY RD,Hastings-Sunrise,498278.0,5457588.0
Vehicle Collision or Pedestrian Struck (with Injury),2022,7,9,12,46,21XX BLOCK RUPERT ST,Hastings-Sunrise,497551.0,5456971.0
Vehicle Collision or Pedestrian Struck (with Injury),2022,4,14,16,9,23XX IRONWORKERS MEMORIAL BRDG,Hastings-Sunrise,498102.2667,5460027.7278
Vehicle Collision or Pedestrian Struck (with Injury),2022,3,1,17,43,24XX BLOCK E HASTINGS ST,Hastings-Sunrise,495911.0,5458714.0
Vehicle Collision or Pedestrian Struck (with Injury),2022,9,7,20,15,24XX BLOCK RUPERT ST,Hastings-Sunrise,497551.0,5456664.0
Vehicle Collision or Pedestrian Struck (with Injury),2022,1,28,18,36,26XX BLOCK E HASTINGS ST,Hastings-Sunrise,496252.0,5458713.0
Vehicle Collision or Pedestrian Struck (with Injury),2022,10,5,1,6,26XX BLOCK TRANS CANADA HWY,Hastings-Sunrise,497717.0,5458288.0
Vehicle Collision or Pedestrian Struck (with Injury),2022,7,6,15,11,26XX TRANS CANADA HWY,Hastings-Sunrise,497696.0,5458294.0
Vehicle Collision or Pedestrian Struck (with Injury),2022,9,25,12,59,26XX TRANS CANADA HWY,Hastings-Sunrise,497713.0,5458543.0
Vehicle Collision or Pedestrian Struck (with Injury),2022,8,7,16,27,27XX BLOCK E BROADWAY AVE,Hastings-Sunrise,496423.0,5456584.0
Vehicle Collision or Pedestrian Struck (with Injury),2022,1,29,17,10,27XX BLOCK E HASTINGS ST,Hastings-Sunrise,496444.0,5458713.0
Vehicle Collision or Pedestrian Struck (with Injury),2022,11,4,22,39,28XX BLOCK E 1ST AVE,Hastings-Sunrise,496618.0,5457404.0
Vehicle Collision or Pedestrian Struck (with Injury),2022,1,18,9,42,28XX BLOCK E 2ND AVE,Hastings-Sunrise,496617.0,5457303.0
Vehicle Collision or Pedestrian Struck (with Injury),2022,4,1,9,27,28XX BLOCK E HASTINGS ST,Hastings-Sunrise,496638.0,5458712.0
Vehicle Collision or Pedestrian Struck (with Injury),2022,7,26,12,27,29XX BLOCK E 1ST AVE,Hastings-Sunrise,496816.0,5457403.0
Vehicle Collision or Pedestrian Struck (with Injury),2022,11,4,20,48,32XX BLOCK E HASTINGS ST,Hastings-Sunrise,497393.0,5458713.0
Vehicle Collision or Pedestrian Struck (with Injury),2022,6,8,9,25,33XX E HASTINGS ST,Hastings-Sunrise,497537.0,5458712.0
Vehicle Collision or Pedestrian Struck (with Injury),2022,4,12,13,15,3XX BLOCK RENFREW ST,Hastings-Sunrise,496800.0,5458787.0
Vehicle Collision or Pedestrian Struck (with Injury),2022,9,15,7,11,8XX BLOCK NANAIMO ST,Hastings-Sunrise,495886.0,5458287.0
Vehicle Collision or Pedestrian Struck (with Injury),2022,4,24,10,1,BOUNDARY RD / 1ST AVE,Hastings-Sunrise,498276.0,5457405.0
Vehicle Collision or Pedestrian Struck (with Injury),2022,4,12,15,16,CASSIAR CONN / E HASTINGS ST,Hastings-Sunrise,497695.0,5458716.0
Vehicle Collision or Pedestrian Struck (with Injury),2022,5,14,12,28,DUNDAS ST / N SLOCAN ST,Hastings-Sunrise,496413.0,5459114.0
Vehicle Collision or Pedestrian Struck (with Injury),2022,8,19,11,22,E 1ST AVE / BOUNDARY RD,Hastings-Sunrise,498276.0,5457405.0
Vehicle Collision or Pedestrian Struck (with Injury),2022,5,27,16,56,E 1ST AVE / LILLOOET ST,Hastings-Sunrise,497166.0,5457401.0
Vehicle Collision or Pedestrian Struck (with Injury),2022,1,13,11,22,E 1ST AVE / LILLOOET ST,Hastings-Sunrise,497167.0,5457422.0
Vehicle Collision or Pedestrian Struck (with Injury),2022,3,20,3,2,E 1ST AVE / RENFREW ST,Hastings-Sunrise,496782.0,5457402.0
Vehicle Collision or Pedestrian Struck (with Injury),2022,12,12,17,35,E 1ST AVE / RENFREW ST,Hastings-Sunrise,496782.0,5457402.0
Vehicle Collision or Pedestrian Struck (with Injury),2022,10,11,11,42,E 4TH AVE / RUPERT ST,Hastings-Sunrise,497552.0,5457097.0
Vehicle Collision or Pedestrian Struck (with Injury),2022,9,25,12,12,E HASTINGS ST / CASSIAR CONN,Hastings-Sunrise,497695.0,5458716.0
Vehicle Collision or Pedestrian Struck (with Injury),2022,8,14,11,33,E HASTINGS ST / KAMLOOPS ST,Hastings-Sunrise,496030.0,5458713.0
Vehicle Collision or Pedestrian Struck (with Injury),2022,11,22,19,45,E HASTINGS ST / RENFREW ST,Hastings-Sunrise,496797.0,5458712.0
Vehicle Collision or Pedestrian Struck (with Injury),2022,4,7,6,33,E HASTINGS ST / SKEENA ST,Hastings-Sunrise,497939.0,5458709.0
Vehicle Collision or Pedestrian Struck (with Injury),2022,11,10,16,20,KAMLOOPS ST / PANDORA ST,Hastings-Sunrise,496030.0,5458917.0
Vehicle Collision or Pedestrian Struck (with Injury),2022,4,11,6,19,KASLO ST / CHARLES ST,Hastings-Sunrise,496591.0,5457835.0
Vehicle Collision or Pedestrian Struck (with Injury),2022,10,13,16,35,KITCHENER ST / BOUNDARY RD,Hastings-Sunrise,498278.0,5457706.0
Vehicle Collision or Pedestrian Struck (with Injury),2022,5,2,6,51,MCGILL ST / N KASLO ST,Hastings-Sunrise,496603.0,5459553.0
Vehicle Collision or Pedestrian Struck (with Injury),2022,3,11,9,5,MCGILL ST OFRP / TRANS CANADA HWY,Hastings-Sunrise,497684.0,5459052.0
Vehicle Collision or Pedestrian Struck (with Injury),2022,11,19,12,38,N KASLO ST / MCGILL ST,Hastings-Sunrise,496603.0,5459553.0
Vehicle Collision or Pedestrian Struck (with Injury),2022,12,24,23,3,N NANAIMO ST / MCGILL ST,Hastings-Sunrise,495905.0,5459545.0
Vehicle Collision or Pedestrian Struck (with Injury),2022,12,6,11,42,N SLOCAN ST / MCGILL ST,Hastings-Sunrise,496413.0,5459552.0
Vehicle Collision or Pedestrian Struck (with Injury),2022,8,24,3,0,NOOTKA ST / E 1ST AVE,Hastings-Sunrise,496983.0,5457422.0
Vehicle Collision or Pedestrian Struck (with Injury),2022,5,19,18,11,PENTICTON ST / E GEORGIA ST,Hastings-Sunrise,496217.0,5458393.0
Vehicle Collision or Pedestrian Struck (with Injury),2022,9,1,7,1,RENFREW ST / E 1ST AVE,Hastings-Sunrise,496783.0,5457424.0
Vehicle Collision or Pedestrian Struck (with Injury),2022,10,27,19,55,RENFREW ST / E 1ST AVE,Hastings-Sunrise,496783.0,5457424.0
Vehicle Collision or Pedestrian Struck (with Injury),2022,4,1,9,31,RENFREW ST / E 2ND AVE,Hastings-Sunrise,496781.0,5457303.0
Vehicle Collision or Pedestrian Struck (with Injury),2022,6,29,20,41,RENFREW ST / E 7TH AVE,Hastings-Sunrise,496775.0,5456790.0
Vehicle Collision or Pedestrian Struck (with Injury),2022,11,21,17,6,RENFREW ST / GRAVELEY ST,Hastings-Sunrise,496784.0,5457517.0
Vehicle Collision or Pedestrian Struck (with Injury),2022,5,12,8,13,RENFREW ST / VENABLES ST,Hastings-Sunrise,496791.0,5458205.0
Vehicle Collision or Pedestrian Struck (with Injury),2022,3,6,11,11,RUPERT ST / E 4TH AVE,Hastings-Sunrise,497540.0,5457097.0
Vehicle Collision or Pedestrian Struck (with Injury),2022,8,14,15,10,TRANS CANADA HWY / E HASTINGS ST ONRP,Hastings-Sunrise,497932.0,5459589.0
Vehicle Collision or Pedestrian Struck (with Injury),2022,6,12,17,18,TRANS CANADA HWY / MCGILL ST OFRP,Hastings-Sunrise,498024.0,5459735.0
Vehicle Collision or Pedestrian Struck (with Injury),2022,6,18,20,11,TRANS CANADA HWY / MCGILL ST OFRP,Hastings-Sunrise,498024.0,5459735.0
Vehicle Collision or Pedestrian Struck (with Injury),2022,9,9,18,46,X E 1ST AVE OFRP,Hastings-Sunrise,498059.0,5457292.0
Break and Enter Commercial,2022,1,7,7,57,15XX BOUNDARY RD,Hastings-Sunrise,498273.5953,5457510.695
Break and Enter Commercial,2022,1,16,13,46,15XX BOUNDARY RD,Hastings-Sunrise,498273.5953,5457510.695
Break and Enter Commercial,2022,2,3,13,45,1X NANAIMO ST,Hastings-Sunrise,495893.6896,5459096.4762
Break and Enter Commercial,2022,6,27,2,22,24XX E HASTINGS ST,Hastings-Sunrise,495894.692,5458718.8288
Break and Enter Commercial,2022,5,5,9,56,24XX E HASTINGS ST,Hastings-Sunrise,495897.2912,5458709.6784
Break and Enter Commercial,2022,10,16,4,44,24XX E HASTINGS ST,Hastings-Sunrise,495897.2912,5458709.6784
Break and Enter Commercial,2022,8,22,23,10,24XX E HASTINGS ST,Hastings-Sunrise,496004.0732,5458709.4168
Break and Enter Commercial,2022,2,11,17,0,24XX E HASTINGS ST,Hastings-Sunrise,496006.8112,5458709.4101
Break and Enter Commercial,2022,11,21,19,18,24XX KAMLOOPS ST,Hastings-Sunrise,496014.6473,5456684.7339
Break and Enter Commercial,2022,2,22,4,20,24XX NANAIMO ST,Hastings-Sunrise,495888.3775,5456680.6106
Break and Enter Commercial,2022,5,2,18,45,25XX E 5TH AVE,Hastings-Sunrise,496192.766,5457000.513
Break and Enter Commercial,2022,7,10,4,30,25XX E HASTINGS ST,Hastings-Sunrise,496088.5188,5458718.3328
Break and Enter Commercial,2022,7,18,0,18,25XX E HASTINGS ST,Hastings-Sunrise,496088.5188,5458718.3328
Break and Enter Commercial,2022,7,28,1,0,25XX E HASTINGS ST,Hastings-Sunrise,496088.5188,5458718.3328
Break and Enter Commercial,2022,5,24,5,55,25XX E HASTINGS ST,Hastings-Sunrise,496097.7804,5458709.1627
Break and Enter Commercial,2022,4,30,23,12,25XX E HASTINGS ST,Hastings-Sunrise,496145.066,5458709.0296
Break and Enter Commercial,2022,5,23,8,11,26XX E HASTINGS ST,Hastings-Sunrise,496258.7779,5458717.8559
Break and Enter Commercial,2022,8,16,18,0,26XX E HASTINGS ST,Hastings-Sunrise,496258.7779,5458717.8559
Break and Enter Commercial,2022,10,1,22,34,26XX E HASTINGS ST,Hastings-Sunrise,496258.7779,5458717.8559
Break and Enter Commercial,2022,2,2,15,0,27XX E HASTINGS ST,Hastings-Sunrise,496481.1227,5458717.2
Break and Enter Commercial,2022,1,18,11,11,27XX E HASTINGS ST,Hastings-Sunrise,496560.9549,5458707.7865
Break and Enter Commercial,2022,12,26,3,55,27XX E HASTINGS ST,Hastings-Sunrise,496568.1377,5458716.9063
Break and Enter Commercial,2022,10,2,0,19,28XX E 1ST AVE,Hastings-Sunrise,496590.7519,5457399.7562
Break and Enter Commercial,2022,5,9,0,42,28XX E 1ST AVE,Hastings-Sunrise,496594.7144,5457399.7182
Break and Enter Commercial,2022,5,22,12,0,28XX E 5TH AVE,Hastings-Sunrise,496740.0402,5456989.3587
Break and Enter Commercial,2022,5,31,7,13,28XX E BROADWAY AVE,Hastings-Sunrise,496750.4551,5456582.2825
Break and Enter Commercial,2022,4,5,4,38,28XX E HASTINGS ST,Hastings-Sunrise,496663.4687,5458707.6353
Break and Enter Commercial,2022,6,11,22,30,28XX E HASTINGS ST,Hastings-Sunrise,496663.4687,5458707.6353
Break and Enter Commercial,2022,5,11,11,39,28XX E HASTINGS ST,Hastings-Sunrise,496681.7818,5458707.636
Break and Enter Commercial,2022,9,14,2,30,28XX E HASTINGS ST,Hastings-Sunrise,496681.7818,5458707.636
Break and Enter Commercial,2022,9,29,1,15,28XX E HASTINGS ST,Hastings-Sunrise,496681.7818,5458707.636
Break and Enter Commercial,2022,9,29,5,0,28XX E HASTINGS ST,Hastings-Sunrise,496681.7818,5458707.636
Break and Enter Commercial,2022,9,30,4,20,28XX E HASTINGS ST,Hastings-Sunrise,496681.7818,5458707.636
Break and Enter Commercial,2022,9,15,5,0,31XX KITCHENER ST,Hastings-Sunrise,497262.0541,5457720.987
Break and Enter Commercial,2022,9,15,9,0,32XX NEW BRIGHTON RD,Hastings-Sunrise,497372.9847,5459558.7007
Break and Enter Commercial,2022,5,6,10,12,33XX BRIDGEWAY,Hastings-Sunrise,497566.7035,5459489.0057
Break and Enter Commercial,2022,4,7,22,6,34XX E HASTINGS ST,Hastings-Sunrise,497881.503,5458714.0205
Break and Enter Commercial,2022,3,16,17,0,35XX E HASTINGS ST,Hastings-Sunrise,497980.4341,5458713.6909
Break and Enter Commercial,2022,4,7,17,0,35XX E HASTINGS ST,Hastings-Sunrise,497980.4341,5458713.6909
Break and Enter Commercial,2022,4,12,3,29,35XX E HASTINGS ST,Hastings-Sunrise,497980.4341,5458713.6909
Break and Enter Commercial,2022,1,16,3,35,36XX E 4TH AVE,Hastings-Sunrise,498247.0956,5457092.4269
Break and Enter Commercial,2022,3,15,4,43,36XX E 4TH AVE,Hastings-Sunrise,498247.0956,5457092.4269
Break and Enter Commercial,2022,10,2,14,56,36XX E 4TH AVE,Hastings-Sunrise,498247.0956,5457092.4269
Break and Enter Commercial,2022,4,19,5,16,36XX E HASTINGS ST,Hastings-Sunrise,498160.6096,5458713.9001
Break and Enter Commercial,2022,9,29,3,40,36XX E HASTINGS ST,Hastings-Sunrise,498160.6096,5458713.9001
Break and Enter Commercial,2022,11,2,4,18,36XX E HASTINGS ST,Hastings-Sunrise,498160.6096,5458713.9001
Break and Enter Commercial,2022,4,19,9,18,36XX E HASTINGS ST,Hastings-Sunrise,498166.4589,5458713.9165
Break and Enter Commercial,2022,11,22,21,30,36XX E HASTINGS ST,Hastings-Sunrise,498192.8067,5458704.8464
Break and Enter Commercial,2022,7,19,0,0,36XX E HASTINGS ST,Hastings-Sunrise,498254.1992,5458714.1627
Break and Enter Commercial,2022,9,27,1,30,36XX E HASTINGS ST,Hastings-Sunrise,498254.1992,5458714.1627
Break and Enter Commercial,2022,10,23,23,28,36XX E HASTINGS ST,Hastings-Sunrise,498254.1992,5458714.1627
Break and Enter Commercial,2022,3,7,19,0,36XX LOUGHEED HWY,Hastings-Sunrise,498141.2992,5456933.7981
Break and Enter Commercial,2022,2,17,1,53,3XX BOUNDARY RD,Hastings-Sunrise,498278.014,5458741.4254
Break and Enter Commercial,2022,4,8,14,34,3XX BOUNDARY RD,Hastings-Sunrise,498278.014,5458741.4254
Break and Enter Commercial,2022,9,27,1,30,3XX BOUNDARY RD,Hastings-Sunrise,498278.014,5458741.4254
Break and Enter Commercial,2022,12,25,17,58,3XX BOUNDARY RD,Hastings-Sunrise,498278.014,5458741.4254
Break and Enter Commercial,2022,12,26,16,40,3XX KOOTENAY ST,Hastings-Sunrise,498134.318,5458717.7091
Break and Enter Commercial,2022,7,11,5,30,3XX SKEENA ST,Hastings-Sunrise,497944.1656,5458720.7846
Break and Enter Commercial,2022,7,11,16,21,3XX SKEENA ST,Hastings-Sunrise,497944.1656,5458720.7846
Break and Enter Commercial,2022,7,19,10,0,3XX SKEENA ST,Hastings-Sunrise,497944.1656,5458720.7846
Break and Enter Commercial,2022,1,3,18,0,3XX SLOCAN ST,Hastings-Sunrise,496416.4008,5458724.2134
Break and Enter Commercial,2022,4,16,3,0,7X N RENFREW ST,Hastings-Sunrise,496792.7066,5459186.5797
Break and Enter Commercial,2022,4,11,5,30,8XX RENFREW ST,Hastings-Sunrise,496796.4574,5458295.7936
Break and Enter Residential/Other,2022,5,30,23,30,15XX NANAIMO ST,Hastings-Sunrise,495887.4622,5457549.2491
Break and Enter Residential/Other,2022,1,11,17,20,19XX NANAIMO ST,Hastings-Sunrise,495887.0931,5457120.9229
Break and Enter Residential/Other,2022,10,4,20,45,1XX KOOTENAY ST,Hastings-Sunrise,498134.7286,5458960.464
Break and Enter Residential/Other,2022,9,25,17,55,1XX RENFREW ST,Hastings-Sunrise,496795.9227,5458959.0522
Break and Enter Residential/Other,2022,8,30,22,29,21XX WINDERMERE ST,Hastings-Sunrise,497340.247,5456896.5771
Break and Enter Residential/Other,2022,3,26,22,33,22XX CASSIAR ST,Hastings-Sunrise,497748.1637,5456793.7356
Break and Enter Residential/Other,2022,10,26,8,30,24XX DUNDAS ST,Hastings-Sunrise,495941.3988,5459119.9087
Break and Enter Residential/Other,2022,4,24,23,43,24XX OXFORD ST,Hastings-Sunrise,496000.3803,5459212.3547
Break and Enter Residential/Other,2022,6,2,10,49,24XX TURNER ST,Hastings-Sunrise,495998.2006,5458489.1875
Break and Enter Residential/Other,2022,6,2,2,20,24XX VENABLES ST,Hastings-Sunrise,495937.3833,5458204.9862
Break and Enter Residential/Other,2022,9,4,20,0,25XX CHARLES ST,Hastings-Sunrise,496206.253,5457841.0696
Break and Enter Residential/Other,2022,2,17,14,19,25XX E 6TH AVE,Hastings-Sunrise,496117.0877,5456895.851
Break and Enter Residential/Other,2022,8,17,0,0,25XX E BROADWAY AVE,Hastings-Sunrise,496105.5076,5456588.8207
Break and Enter Residential/Other,2022,7,27,3,0,25XX FRANKLIN ST,Hastings-Sunrise,496098.0873,5458818.6056
Break and Enter Residential/Other,2022,7,27,2,40,25XX FRANKLIN ST,Hastings-Sunrise,496160.0518,5458818.493
Break and Enter Residential/Other,2022,6,28,2,34,25XX KITCHENER ST,Hastings-Sunrise,496176.4381,5457723.137
Break and Enter Residential/Other,2022,5,29,11,1,25XX OXFORD ST,Hastings-Sunrise,496135.064,5459221.287
Break and Enter Residential/Other,2022,2,26,22,24,25XX PANDORA ST,Hastings-Sunrise,496050.8213,5458921.6757
Break and Enter Residential/Other,2022,8,22,0,30,25XX YALE ST,Hastings-Sunrise,496042.4028,5459773.0176
Break and Enter Residential/Other,2022,6,2,1,30,26XX ADANAC ST,Hastings-Sunrise,496237.3617,5458298.429
Break and Enter Residential/Other,2022,12,5,20,20,26XX E 7TH AVE,Hastings-Sunrise,496249.8682,5456786.0473
Break and Enter Residential/Other,2022,12,5,20,30,26XX E 7TH AVE,Hastings-Sunrise,496249.8682,5456786.0473
Break and Enter Residential/Other,2022,3,4,10,45,26XX E GEORGIA ST,Hastings-Sunrise,496293.4339,5458388.6708
Break and Enter Residential/Other,2022,3,1,0,0,26XX E GEORGIA ST,Hastings-Sunrise,496293.481,5458397.8147
Break and Enter Residential/Other,2022,7,20,19,8,26XX FRANKLIN ST,Hastings-Sunrise,496272.2913,5458818.3484
Break and Enter Residential/Other,2022,6,1,0,0,26XX FRANKLIN ST,Hastings-Sunrise,496296.0866,5458809.1887
Break and Enter Residential/Other,2022,1,1,22,0,26XX GRANT ST,Hastings-Sunrise,496384.7599,5457618.9683
Break and Enter Residential/Other,2022,8,5,0,0,26XX MCGILL ST,Hastings-Sunrise,496294.5318,5459548.3153
Break and Enter Residential/Other,2022,5,12,0,0,26XX MCGILL ST,Hastings-Sunrise,496320.1663,5459548.2611
Break and Enter Residential/Other,2022,10,23,13,26,26XX TRIUMPH ST,Hastings-Sunrise,496281.8118,5459021.3492
Break and Enter Residential/Other,2022,6,17,10,47,27XX E BROADWAY AVE,Hastings-Sunrise,496461.7361,5456588.0194
Break and Enter Residential/Other,2022,11,12,16,0,27XX FRANKLIN ST,Hastings-Sunrise,496548.4639,5458817.7396
Break and Enter Residential/Other,2022,4,30,5,23,27XX PANDORA ST,Hastings-Sunrise,496481.1174,5458919.5739
Break and Enter Residential/Other,2022,8,7,12,39,27XX PANDORA ST,Hastings-Sunrise,496507.0041,5458910.312
Break and Enter Residential/Other,2022,1,22,10,47,27XX TRINITY ST,Hastings-Sunrise,496592.1673,5459667.1661
Break and Enter Residential/Other,2022,7,2,0,0,27XX TRIUMPH ST,Hastings-Sunrise,496422.3476,5459020.6618
Break and Enter Residential/Other,2022,4,1,19,0,28XX ADANAC ST,Hastings-Sunrise,496704.3436,5458305.7695
Break and Enter Residential/Other,2022,3,2,10,57,28XX ETON ST,Hastings-Sunrise,496725.1916,5459435.5947
Break and Enter Residential/Other,2022,10,17,6,0,28XX MCGILL ST,Hastings-Sunrise,496658.0497,5459547.4398
Break and Enter Residential/Other,2022,11,11,13,30,28XX MCGILL ST,Hastings-Sunrise,496658.0497,5459547.4398
Break and Enter Residential/Other,2022,5,22,17,5,28XX TRINITY ST,Hastings-Sunrise,496688.2321,5459657.8695
Break and Enter Residential/Other,2022,1,4,15,37,29XX E BROADWAY AVE,Hastings-Sunrise,496889.4741,5456579.9316
Break and Enter Residential/Other,2022,6,8,8,0,29XX KITCHENER ST,Hastings-Sunrise,496921.2246,5457720.9383
Break and Enter Residential/Other,2022,6,15,4,20,29XX PARKER ST,Hastings-Sunrise,496823.996,5458073.884
Break and Enter Residential/Other,2022,12,4,15,0,30XX E BROADWAY AVE,Hastings-Sunrise,497108.8797,5456575.9992
Break and Enter Residential/Other,2022,9,29,13,15,31XX CHARLES ST,Hastings-Sunrise,497314.7688,5457827.9968
Break and Enter Residential/Other,2022,11,26,20,0,31XX E 7TH AVE,Hastings-Sunrise,497324.1614,5456790.562
Break and Enter Residential/Other,2022,2,17,18,41,31XX GRAVELEY ST,Hastings-Sunrise,497236.0317,5457510.7747
Break and Enter Residential/Other,2022,11,11,16,30,31XX TURNER ST,Hastings-Sunrise,497261.3141,5458485.8261
Break and Enter Residential/Other,2022,10,30,0,40,32XX E 2ND AVE,Hastings-Sunrise,497517.0822,5457296.6872
Break and Enter Residential/Other,2022,10,29,21,0,32XX KITCHENER ST,Hastings-Sunrise,497375.5925,5457729.8492
Break and Enter Residential/Other,2022,8,15,0,0,33XX E 5TH AVE,Hastings-Sunrise,497650.7138,5456983.4576
Break and Enter Residential/Other,2022,4,10,0,0,34XX E GEORGIA ST,Hastings-Sunrise,497773.6233,5458394.2375
Break and Enter Residential/Other,2022,9,30,17,50,34XX E GEORGIA ST,Hastings-Sunrise,497773.6233,5458394.2375
