TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Theft from Vehicle,2021,8,17,21,57,1XX RENFREW ST,Hastings-Sunrise,496804.9425,5459011.2083
Theft from Vehicle,2021,9,20,20,45,20XX CASSIAR ST,Hastings-Sunrise,497739.9543,5457015.0371
Theft from Vehicle,2021,3,5,3,30,20XX CASSIAR ST,Hastings-Sunrise,497739.9617,5457016.9641
Theft from Vehicle,2021,2,15,12,0,21XX KAMLOOPS ST,Hastings-Sunrise,496024.4135,5456995.1451
Theft from Vehicle,2021,6,28,12,0,21XX LILLOOET ST,Hastings-Sunrise,497165.8894,5456989.7488
Theft from Vehicle,2021,4,14,3,0,21XX NANAIMO ST,Hastings-Sunrise,495887.5864,5456922.2519
Theft from Vehicle,2021,5,31,18,0,21XX RENFREW ST,Hastings-Sunrise,496771.6795,5456959.5548
Theft from Vehicle,2021,1,13,17,37,21XX SKEENA ST,Hastings-Sunrise,497933.1333,5456981.3137
Theft from Vehicle,2021,4,15,0,0,21XX SKEENA ST,Hastings-Sunrise,497933.1333,5456981.3137
Theft from Vehicle,2021,4,20,0,0,22XX CASSIAR ST,Hastings-Sunrise,497748.5155,5456875.2379
Theft from Vehicle,2021,1,21,12,0,22XX KAMLOOPS ST,Hastings-Sunrise,496023.9799,5456890.3872
Theft from Vehicle,2021,2,6,21,30,22XX SLOCAN ST,Hastings-Sunrise,496393.7442,5456861.0348
Theft from Vehicle,2021,11,8,20,0,23XX PENTICTON ST,Hastings-Sunrise,496207.4069,5456789.2203
Theft from Vehicle,2021,6,20,12,30,23XX RENFREW ST,Hastings-Sunrise,496779.9623,5456777.1469
Theft from Vehicle,2021,8,7,9,50,23XX RENFREW ST,Hastings-Sunrise,496779.9623,5456777.1469
Theft from Vehicle,2021,8,3,0,0,23XX RUPERT ST,Hastings-Sunrise,497533.4572,5456705.4571
Theft from Vehicle,2021,4,26,0,0,24XX ADANAC ST,Hastings-Sunrise,496005.0751,5458307.6252
Theft from Vehicle,2021,5,9,0,0,24XX ADANAC ST,Hastings-Sunrise,496005.0751,5458307.6252
Theft from Vehicle,2021,5,10,4,26,24XX ADANAC ST,Hastings-Sunrise,496005.0751,5458307.6252
Theft from Vehicle,2021,5,12,3,30,24XX ADANAC ST,Hastings-Sunrise,496005.0751,5458307.6252
Theft from Vehicle,2021,1,27,23,0,24XX E 2ND AVE,Hastings-Sunrise,495880.8449,5457309.2372
Theft from Vehicle,2021,2,12,23,0,24XX E 2ND AVE,Hastings-Sunrise,495951.3121,5457300.5974
Theft from Vehicle,2021,11,3,15,0,24XX E 4TH AVE,Hastings-Sunrise,495883.4716,5457104.1928
Theft from Vehicle,2021,8,1,0,30,24XX E 4TH AVE,Hastings-Sunrise,495990.331,5457098.9899
Theft from Vehicle,2021,10,26,0,0,24XX E 5TH AVE,Hastings-Sunrise,495993.448,5457001.7622
Theft from Vehicle,2021,11,13,4,15,24XX E 8TH AVE,Hastings-Sunrise,495885.5112,5456685.9973
Theft from Vehicle,2021,11,10,20,0,24XX E GEORGIA ST,Hastings-Sunrise,495945.101,5458389.674
Theft from Vehicle,2021,3,14,21,0,24XX GRANT ST,Hastings-Sunrise,495884.7458,5457620.1509
Theft from Vehicle,2021,2,14,17,0,24XX GRANT ST,Hastings-Sunrise,495951.5382,5457619.9631
Theft from Vehicle,2021,4,16,20,30,24XX GRAVELEY ST,Hastings-Sunrise,495966.8161,5457514.4747
Theft from Vehicle,2021,2,16,14,0,24XX KAMLOOPS ST,Hastings-Sunrise,496014.666,5456681.1938
Theft from Vehicle,2021,1,19,12,0,24XX KAMLOOPS ST,Hastings-Sunrise,496023.7695,5456688.9133
Theft from Vehicle,2021,2,4,1,1,24XX MCGILL ST,Hastings-Sunrise,495960.492,5459559.4312
Theft from Vehicle,2021,7,16,23,0,24XX NAPIER ST,Hastings-Sunrise,495891.6187,5458022.3171
Theft from Vehicle,2021,4,6,6,0,24XX NAPIER ST,Hastings-Sunrise,495987.068,5458030.8892
Theft from Vehicle,2021,8,12,18,0,24XX NAPIER ST,Hastings-Sunrise,496016.9974,5458021.5658
Theft from Vehicle,2021,2,12,21,30,24XX PARKER ST,Hastings-Sunrise,495988.5304,5458122.19
Theft from Vehicle,2021,6,16,17,0,24XX TRIUMPH ST,Hastings-Sunrise,495890.2889,5459013.7708
Theft from Vehicle,2021,6,1,19,0,24XX TURNER ST,Hastings-Sunrise,496006.1931,5458489.1467
Theft from Vehicle,2021,9,6,3,0,24XX VENABLES ST,Hastings-Sunrise,495929.388,5458214.1074
Theft from Vehicle,2021,7,1,1,30,25XX ADANAC ST,Hastings-Sunrise,496120.571,5458307.6228
Theft from Vehicle,2021,2,10,15,30,25XX CAMBRIDGE ST,Hastings-Sunrise,496062.5982,5459337.4388
Theft from Vehicle,2021,4,26,1,1,25XX CAMBRIDGE ST,Hastings-Sunrise,496172.0792,5459337.5153
Theft from Vehicle,2021,2,10,20,0,25XX CHARLES ST,Hastings-Sunrise,496137.7611,5457841.1222
Theft from Vehicle,2021,8,17,22,0,25XX DUNDAS ST,Hastings-Sunrise,496192.804,5459119.9906
Theft from Vehicle,2021,11,8,0,0,25XX E 4TH AVE,Hastings-Sunrise,496025.4448,5457098.7128
Theft from Vehicle,2021,6,4,20,0,25XX E 4TH AVE,Hastings-Sunrise,496075.6704,5457107.6899
Theft from Vehicle,2021,2,13,20,0,25XX E 4TH AVE,Hastings-Sunrise,496140.2073,5457107.4756
Theft from Vehicle,2021,1,21,2,0,25XX E 4TH AVE,Hastings-Sunrise,496145.8982,5457098.3127
Theft from Vehicle,2021,3,21,1,25,25XX E 4TH AVE,Hastings-Sunrise,496150.933,5457098.2959
Theft from Vehicle,2021,3,21,21,45,25XX E 6TH AVE,Hastings-Sunrise,496024.9235,5456887.2217
Theft from Vehicle,2021,7,11,18,21,25XX E 8TH AVE,Hastings-Sunrise,496115.6044,5456685.2819
Theft from Vehicle,2021,6,13,2,0,25XX E 8TH AVE,Hastings-Sunrise,496185.7734,5456694.0727
Theft from Vehicle,2021,10,27,13,0,25XX E HASTINGS ST,Hastings-Sunrise,496061.4326,5458718.409
Theft from Vehicle,2021,10,7,16,0,25XX E HASTINGS ST,Hastings-Sunrise,496071.0802,5458709.2379
Theft from Vehicle,2021,8,18,14,0,25XX E PENDER ST,Hastings-Sunrise,496038.9121,5458614.5646
Theft from Vehicle,2021,10,12,19,21,25XX E PENDER ST,Hastings-Sunrise,496202.5686,5458605.0465
Theft from Vehicle,2021,4,12,20,0,25XX GRANT ST,Hastings-Sunrise,496023.6284,5457619.7612
Theft from Vehicle,2021,6,4,20,0,25XX GRANT ST,Hastings-Sunrise,496080.4004,5457619.6375
Theft from Vehicle,2021,5,25,23,0,25XX GRANT ST,Hastings-Sunrise,496090.2669,5457619.6157
Theft from Vehicle,2021,2,15,5,0,25XX GRAVELEY ST,Hastings-Sunrise,496082.9027,5457524.4972
Theft from Vehicle,2021,12,31,16,0,25XX GRAVELEY ST,Hastings-Sunrise,496172.7564,5457515.3531
Theft from Vehicle,2021,2,10,23,0,25XX KITCHENER ST,Hastings-Sunrise,496062.7274,5457732.8067
Theft from Vehicle,2021,2,4,20,0,25XX MCGILL ST,Hastings-Sunrise,496042.6826,5459550.5905
Theft from Vehicle,2021,11,20,18,30,25XX MCGILL ST,Hastings-Sunrise,496082.653,5459559.2621
Theft from Vehicle,2021,1,11,23,0,25XX OXFORD ST,Hastings-Sunrise,496138.1595,5459212.1404
Theft from Vehicle,2021,1,15,1,0,25XX PANDORA ST,Hastings-Sunrise,496039.9203,5458912.5834
Theft from Vehicle,2021,2,2,15,0,25XX PANDORA ST,Hastings-Sunrise,496171.9771,5458921.1052
Theft from Vehicle,2021,11,13,19,0,25XX PARKER ST,Hastings-Sunrise,496032.4403,5458112.8528
Theft from Vehicle,2021,12,5,20,0,25XX PARKER ST,Hastings-Sunrise,496032.4403,5458112.8528
Theft from Vehicle,2021,5,9,21,0,25XX PARKER ST,Hastings-Sunrise,496054.5674,5458122.0293
Theft from Vehicle,2021,9,13,4,0,25XX PARKER ST,Hastings-Sunrise,496195.8063,5458113.0936
Theft from Vehicle,2021,6,1,0,0,25XX TRINITY ST,Hastings-Sunrise,496106.4537,5459658.783
Theft from Vehicle,2021,9,21,2,0,25XX TRINITY ST,Hastings-Sunrise,496187.1224,5459667.7946
Theft from Vehicle,2021,2,2,21,0,25XX TRIUMPH ST,Hastings-Sunrise,496179.7051,5459012.6905
Theft from Vehicle,2021,11,2,1,0,25XX TURNER ST,Hastings-Sunrise,496087.1712,5458479.8145
Theft from Vehicle,2021,6,13,19,0,25XX TURNER ST,Hastings-Sunrise,496140.0799,5458479.7493
Theft from Vehicle,2021,5,1,18,0,25XX VENABLES ST,Hastings-Sunrise,496050.9476,5458214.3471
Theft from Vehicle,2021,8,21,17,0,25XX VENABLES ST,Hastings-Sunrise,496092.4772,5458214.3037
Theft from Vehicle,2021,12,21,0,0,25XX WILLIAM ST,Hastings-Sunrise,496081.3287,5457937.3577
Theft from Vehicle,2021,4,7,8,50,25XX WILLIAM ST,Hastings-Sunrise,496114.5154,5457937.3497
Theft from Vehicle,2021,3,21,1,0,25XX WILLIAM ST,Hastings-Sunrise,496177.1993,5457928.1905
Theft from Vehicle,2021,7,15,22,0,25XX YALE ST,Hastings-Sunrise,496136.3199,5459772.7639
Theft from Vehicle,2021,10,27,18,30,26XX ADANAC ST,Hastings-Sunrise,496222.3662,5458298.491
Theft from Vehicle,2021,4,25,21,0,26XX DUNDAS ST,Hastings-Sunrise,496226.148,5459110.9333
Theft from Vehicle,2021,6,22,4,5,26XX DUNDAS ST,Hastings-Sunrise,496226.148,5459110.9333
Theft from Vehicle,2021,3,10,20,0,26XX E 5TH AVE,Hastings-Sunrise,496215.0977,5456991.2696
Theft from Vehicle,2021,3,10,22,30,26XX E 5TH AVE,Hastings-Sunrise,496222.4087,5457000.3832
Theft from Vehicle,2021,4,14,1,0,26XX E 5TH AVE,Hastings-Sunrise,496364.5475,5456999.7899
Theft from Vehicle,2021,6,11,20,0,26XX E 6TH AVE,Hastings-Sunrise,496213.7816,5456886.17
Theft from Vehicle,2021,7,28,1,44,26XX E 7TH AVE,Hastings-Sunrise,496302.2667,5456785.9494
Theft from Vehicle,2021,7,28,3,0,26XX E 8TH AVE,Hastings-Sunrise,496207.3067,5456684.836
Theft from Vehicle,2021,7,28,4,8,26XX E 8TH AVE,Hastings-Sunrise,496269.7933,5456684.6961
Theft from Vehicle,2021,10,9,9,0,26XX E 8TH AVE,Hastings-Sunrise,496324.949,5456693.7168
Theft from Vehicle,2021,5,28,17,0,26XX E BROADWAY AVE,Hastings-Sunrise,496266.9538,5456588.3192
Theft from Vehicle,2021,11,29,22,30,26XX E BROADWAY AVE,Hastings-Sunrise,496266.9538,5456588.3192
Theft from Vehicle,2021,6,25,17,0,26XX E BROADWAY AVE,Hastings-Sunrise,496346.2038,5456588.2841
Theft from Vehicle,2021,9,1,15,0,26XX E GEORGIA ST,Hastings-Sunrise,496274.2481,5458388.7697
Theft from Vehicle,2021,5,29,20,0,26XX ETON ST,Hastings-Sunrise,496386.4993,5459437.9584
Theft from Vehicle,2021,7,11,1,30,26XX GRANT ST,Hastings-Sunrise,496220.9928,5457619.331
